Entity,Code,Year,CO2 emissions per capita
Australia,AUS,1859,0.39841047
Australia,AUS,1860,0.46554205
Australia,AUS,1861,0.41504335
Australia,AUS,1862,0.56138545
Australia,AUS,1863,0.49885336
Australia,AUS,1864,0.6075287
Australia,AUS,1865,0.63617206
Australia,AUS,1866,0.81264055
Australia,AUS,1867,0.7646648
Australia,AUS,1868,0.9180503
Australia,AUS,1869,0.8539451
Australia,AUS,1870,0.7968973
Australia,AUS,1871,0.7992716
Australia,AUS,1872,0.8875412
Australia,AUS,1873,1.0250846
Australia,AUS,1874,1.1051006
Australia,AUS,1875,1.0907334
Australia,AUS,1876,1.0756459
Australia,AUS,1877,1.1575869
Australia,AUS,1878,1.2239833
Australia,AUS,1879,1.2026532
Australia,AUS,1880,1.0981691
Australia,AUS,1881,1.2815344
Australia,AUS,1882,1.473972
Australia,AUS,1883,1.7118096
Australia,AUS,1884,1.8074998
Australia,AUS,1885,1.8771107
Australia,AUS,1886,1.79794
Australia,AUS,1887,1.8067008
Australia,AUS,1888,1.9493544
Australia,AUS,1889,2.1058218
Australia,AUS,1890,1.786267
Australia,AUS,1891,2.201454
Australia,AUS,1892,2.0217397
Australia,AUS,1893,1.7740546
Australia,AUS,1894,1.9676794
Australia,AUS,1895,1.9997811
Australia,AUS,1896,2.084546
Australia,AUS,1897,2.257835
Australia,AUS,1898,2.3870416
Australia,AUS,1899,2.3953955
Australia,AUS,1900,2.752962
Australia,AUS,1901,3.0463297
Australia,AUS,1902,2.9864807
Australia,AUS,1903,2.8967276
Australia,AUS,1904,2.9335973
Australia,AUS,1905,3.0159183
Australia,AUS,1906,3.5378635
Australia,AUS,1907,3.757618
Australia,AUS,1908,4.011904
Australia,AUS,1909,3.426841
Australia,AUS,1910,4.0903087
Australia,AUS,1911,4.429124
Australia,AUS,1912,4.719911
Australia,AUS,1913,4.973088
Australia,AUS,1914,5.3278804
Australia,AUS,1915,4.6662683
Australia,AUS,1916,4.077536
Australia,AUS,1917,4.294743
Australia,AUS,1918,4.6090527
Australia,AUS,1919,4.2898793
Australia,AUS,1920,4.987561
Australia,AUS,1921,4.4229965
Australia,AUS,1922,4.546549
Australia,AUS,1923,4.598232
Australia,AUS,1924,4.952716
Australia,AUS,1925,5.1087523
Australia,AUS,1926,5.0058236
Australia,AUS,1927,5.191625
Australia,AUS,1928,4.728035
Australia,AUS,1929,4.311229
Australia,AUS,1930,4.089757
Australia,AUS,1931,3.5166428
Australia,AUS,1932,3.556941
Australia,AUS,1933,3.7916737
Australia,AUS,1934,3.976151
Australia,AUS,1935,4.356107
Australia,AUS,1936,4.700504
Australia,AUS,1937,4.992379
Australia,AUS,1938,4.9415283
Australia,AUS,1939,5.5146127
Australia,AUS,1940,5.0727487
Australia,AUS,1941,5.571768
Australia,AUS,1942,5.86701
Australia,AUS,1943,5.6591496
Australia,AUS,1944,5.5465484
Australia,AUS,1945,5.209843
Australia,AUS,1946,5.595715
Australia,AUS,1947,5.7690525
Australia,AUS,1948,5.960746
Australia,AUS,1949,5.9889903
Australia,AUS,1950,6.804118
Australia,AUS,1951,7.2519517
Australia,AUS,1952,7.230732
Australia,AUS,1953,7.146357
Australia,AUS,1954,7.5472507
Australia,AUS,1955,7.8158345
Australia,AUS,1956,8.007866
Australia,AUS,1957,7.8303013
Australia,AUS,1958,7.913471
Australia,AUS,1959,8.257242
Australia,AUS,1960,8.505221
Australia,AUS,1961,8.28616
Australia,AUS,1962,8.490391
Australia,AUS,1963,8.796127
Australia,AUS,1964,9.304669
Australia,AUS,1965,10.002778
Australia,AUS,1966,9.983728
Australia,AUS,1967,10.35353
Australia,AUS,1968,10.703904
Australia,AUS,1969,11.115485
Australia,AUS,1970,11.735687
Australia,AUS,1971,11.626275
Australia,AUS,1972,11.544491
Australia,AUS,1973,12.585682
Australia,AUS,1974,12.112886
Australia,AUS,1975,12.458735
Australia,AUS,1976,12.088416
Australia,AUS,1977,12.807602
Australia,AUS,1978,13.297853
Australia,AUS,1979,13.233434
Australia,AUS,1980,13.882577
Australia,AUS,1981,14.302423
Australia,AUS,1982,14.349259
Australia,AUS,1983,13.470442
Australia,AUS,1984,13.9248085
Australia,AUS,1985,14.180418
Australia,AUS,1986,13.941844
Australia,AUS,1987,14.372896
Australia,AUS,1988,14.507384
Australia,AUS,1989,15.225123
Australia,AUS,1990,16.235903
Australia,AUS,1991,16.10294
Australia,AUS,1992,16.207693
Australia,AUS,1993,16.294191
Australia,AUS,1994,16.405329
Australia,AUS,1995,16.853085
Australia,AUS,1996,17.036093
Australia,AUS,1997,17.305813
Australia,AUS,1998,17.861351
Australia,AUS,1999,18.184906
Australia,AUS,2000,18.288157
Australia,AUS,2001,18.469387
Australia,AUS,2002,18.495451
Australia,AUS,2003,18.708109
Australia,AUS,2004,19.055769
Australia,AUS,2005,18.974682
Australia,AUS,2006,19.007372
Australia,AUS,2007,19.036264
Australia,AUS,2008,18.91755
Australia,AUS,2009,18.683231
Australia,AUS,2010,18.292547
Australia,AUS,2011,17.96612
Australia,AUS,2012,17.72246
Australia,AUS,2013,17.121933
Australia,AUS,2014,16.639103
Australia,AUS,2015,16.72746
Australia,AUS,2016,16.837934
Australia,AUS,2017,16.71615
Australia,AUS,2018,16.512163
Australia,AUS,2019,16.28262
Australia,AUS,2020,15.481285
Australia,AUS,2021,14.96633
Australia,AUS,2022,14.65893
Australia,AUS,2023,14.529289
Australia,AUS,2024,14.477199
